2017-07-14;2017-07-14 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-14;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-15;2017-07-15 19:23:05;109.239.70.119;0.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
2017-07-16;2017-07-15 19:23:05;109.239.70.119;99.159786;0%;CZ;Prague;50.0333 14.3083;155 00;
